SU5adj1s1A1F8nf0,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5s1S1a1A1nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.5743333333333333,0.5157777777777777,0.0,0.46644444444444444,0.4643333333333333,0.5534444444444444,0.47511111111111104
SU3adj1nf2,0.5743333333333333,0.0,0.4708888888888889,0.0,0.48611111111111105,0.4703333333333334,0.5925555555555555,0.5677777777777778
SU3adj1nf3,0.5157777777777777,0.4708888888888889,0.0,0.0,0.4262222222222222,0.4077777777777778,0.5281111111111111,0.47122222222222226
SU5s1S1a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2adj1a2nf4,0.46644444444444444,0.48611111111111105,0.4262222222222222,0.0,0.0,0.3876666666666667,0.4893333333333333,0.4521111111111111
Sp2s1a1nf2,0.4643333333333333,0.4703333333333334,0.4077777777777778,0.0,0.3876666666666667,0.0,0.5166666666666666,0.47177777777777785
SU8s1S2a1f8nf1,0.5534444444444444,0.5925555555555555,0.5281111111111111,0.0,0.4893333333333333,0.5166666666666666,0.0,0.5057777777777778
SU4adj2a1A1nf1,0.47511111111111104,0.5677777777777778,0.47122222222222226,0.0,0.4521111111111111,0.47177777777777785,0.5057777777777778,0.0

Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.5795555555555556,0.49577777777777776,0.46644444444444444,0.0,0.39877777777777773,0.5303333333333334,0.4216666666666667
SU3adj1nf2,0.5795555555555556,0.0,0.5146666666666666,0.48611111111111105,0.0,0.4832222222222222,0.6006666666666667,0.5595555555555556
SU3adj1nf3,0.49577777777777776,0.5146666666666666,0.0,0.4262222222222222,0.0,0.4115555555555555,0.5551111111111111,0.5092222222222222
SU5s1S1a1A1nf1,0.46644444444444444,0.48611111111111105,0.4262222222222222,0.0,0.0,0.3876666666666667,0.4893333333333333,0.4521111111111111
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a1nf2,0.39877777777777773,0.4832222222222222,0.4115555555555555,0.3876666666666667,0.0,0.0,0.43677777777777776,0.4017777777777778
SU8s1S2a1f8nf1,0.5303333333333334,0.6006666666666667,0.5551111111111111,0.4893333333333333,0.0,0.43677777777777776,0.0,0.4274444444444445
SU4adj2a1A1nf1,0.4216666666666667,0.5595555555555556,0.5092222222222222,0.4521111111111111,0.0,0.4017777777777778,0.4274444444444445,0.0

Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.5347777777777778,0.4627777777777778,0.4643333333333333,0.39877777777777773,0.0,0.5807777777777778,0.46855555555555545
SU3adj1nf2,0.5347777777777778,0.0,0.46488888888888885,0.4703333333333334,0.4832222222222222,0.0,0.5455555555555556,0.5094444444444445
SU3adj1nf3,0.4627777777777778,0.46488888888888885,0.0,0.4077777777777778,0.4115555555555555,0.0,0.5318888888888889,0.4654444444444445
SU5s1S1a1A1nf1,0.4643333333333333,0.4703333333333334,0.4077777777777778,0.0,0.3876666666666667,0.0,0.5166666666666666,0.47177777777777785
Sp2adj1a2nf4,0.39877777777777773,0.4832222222222222,0.4115555555555555,0.3876666666666667,0.0,0.0,0.43677777777777776,0.4017777777777778
Sp2s1a1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU8s1S2a1f8nf1,0.5807777777777778,0.5455555555555556,0.5318888888888889,0.5166666666666666,0.43677777777777776,0.0,0.0,0.49133333333333334
SU4adj2a1A1nf1,0.46855555555555545,0.5094444444444445,0.4654444444444445,0.47177777777777785,0.4017777777777778,0.0,0.49133333333333334,0.0

SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.6524444444444444,0.5587777777777778,0.5534444444444444,0.5303333333333334,0.5807777777777778,0.0,0.5071111111111111
SU3adj1nf2,0.6524444444444444,0.0,0.5681111111111111,0.5925555555555555,0.6006666666666667,0.5455555555555556,0.0,0.509
SU3adj1nf3,0.5587777777777778,0.5681111111111111,0.0,0.5281111111111111,0.5551111111111111,0.5318888888888889,0.0,0.4914444444444444
SU5s1S1a1A1nf1,0.5534444444444444,0.5925555555555555,0.5281111111111111,0.0,0.4893333333333333,0.5166666666666666,0.0,0.5057777777777778
Sp2adj1a2nf4,0.5303333333333334,0.6006666666666667,0.5551111111111111,0.4893333333333333,0.0,0.43677777777777776,0.0,0.4274444444444445
Sp2s1a1nf2,0.5807777777777778,0.5455555555555556,0.5318888888888889,0.5166666666666666,0.43677777777777776,0.0,0.0,0.49133333333333334
SU8s1S2a1f8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4adj2a1A1nf1,0.5071111111111111,0.509,0.4914444444444444,0.5057777777777778,0.4274444444444445,0.49133333333333334,0.0,0.0

SU4adj2a1A1nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.5371111111111112,0.46944444444444444,0.47511111111111104,0.4216666666666667,0.46855555555555545,0.5071111111111111,0.0
SU3adj1nf2,0.5371111111111112,0.0,0.5293333333333333,0.5677777777777778,0.5595555555555556,0.5094444444444445,0.509,0.0
SU3adj1nf3,0.46944444444444444,0.5293333333333333,0.0,0.47122222222222226,0.5092222222222222,0.4654444444444445,0.4914444444444444,0.0
SU5s1S1a1A1nf1,0.47511111111111104,0.5677777777777778,0.47122222222222226,0.0,0.4521111111111111,0.47177777777777785,0.5057777777777778,0.0
Sp2adj1a2nf4,0.4216666666666667,0.5595555555555556,0.5092222222222222,0.4521111111111111,0.0,0.4017777777777778,0.4274444444444445,0.0
Sp2s1a1nf2,0.46855555555555545,0.5094444444444445,0.4654444444444445,0.47177777777777785,0.4017777777777778,0.0,0.49133333333333334,0.0
SU8s1S2a1f8nf1,0.5071111111111111,0.509,0.4914444444444444,0.5057777777777778,0.4274444444444445,0.49133333333333334,0.0,0.0
SU4adj2a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

