Sp2s1a2nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
SU3adj1nf2,0.42911111111111105,0.5692222222222222,0.5773333333333334,0.5293333333333333,0.0,0.43400000000000005,0.5616666666666666,0.0,0.47833333333333333
SU4adj2a1A1nf1,0.4805555555555555,0.5732222222222222,0.4528888888888889,0.4528888888888889,0.0,0.4944444444444444,0.4703333333333334,0.47833333333333333,0.0

Sp2s1a1nf2,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.6111111111111112,0.5184444444444444,0.5325555555555556,0.41488888888888886,0.0,0.4704444444444445,0.4228888888888889,0.48388888888888887
SU8s1S2a1f8nf1,0.6111111111111112,0.0,0.5223333333333333,0.48533333333333334,0.5394444444444445,0.0,0.5964444444444446,0.5752222222222222,0.5805555555555556
Sp2adj1a2nf4,0.5184444444444444,0.5223333333333333,0.0,0.47400000000000003,0.5040000000000001,0.0,0.44699999999999995,0.4716666666666666,0.44255555555555554
Sp2s2a1nf1,0.5325555555555556,0.48533333333333334,0.47400000000000003,0.0,0.5538888888888889,0.0,0.48166666666666663,0.5028888888888889,0.4662222222222222
SU5s1S1a1A1nf1,0.41488888888888886,0.5394444444444445,0.5040000000000001,0.5538888888888889,0.0,0.0,0.495,0.43400000000000005,0.4944444444444444
Sp2s1a1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1s1A1F8nf0,0.4704444444444445,0.5964444444444446,0.44699999999999995,0.48166666666666663,0.495,0.0,0.0,0.4774444444444444,0.4612222222222222
SU3adj1nf2,0.4228888888888889,0.5752222222222222,0.4716666666666666,0.5028888888888889,0.43400000000000005,0.0,0.4774444444444444,0.0,0.46411111111111114
SU4adj2a1A1nf1,0.48388888888888887,0.5805555555555556,0.44255555555555554,0.4662222222222222,0.4944444444444444,0.0,0.4612222222222222,0.46411111111111114,0.0

SU5adj1s1A1F8nf0,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.6406666666666666,0.5061111111111111,0.5138888888888888,0.535888888888889,0.4704444444444445,0.0,0.5324444444444444,0.48100000000000004
SU8s1S2a1f8nf1,0.6406666666666666,0.0,0.45344444444444443,0.5264444444444445,0.5713333333333334,0.5964444444444446,0.0,0.5665555555555555,0.46977777777777774
Sp2adj1a2nf4,0.5061111111111111,0.45344444444444443,0.0,0.4414444444444445,0.4888888888888889,0.44699999999999995,0.0,0.5432222222222222,0.38022222222222224
Sp2s2a1nf1,0.5138888888888888,0.5264444444444445,0.4414444444444445,0.0,0.4994444444444445,0.48166666666666663,0.0,0.4886666666666667,0.4218888888888889
SU5s1S1a1A1nf1,0.535888888888889,0.5713333333333334,0.4888888888888889,0.4994444444444445,0.0,0.495,0.0,0.5616666666666666,0.4703333333333334
Sp2s1a1nf2,0.4704444444444445,0.5964444444444446,0.44699999999999995,0.48166666666666663,0.495,0.0,0.0,0.4774444444444444,0.4612222222222222
SU5adj1s1A1F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf2,0.5324444444444444,0.5665555555555555,0.5432222222222222,0.4886666666666667,0.5616666666666666,0.4774444444444444,0.0,0.0,0.48744444444444446
SU4adj2a1A1nf1,0.48100000000000004,0.46977777777777774,0.38022222222222224,0.4218888888888889,0.4703333333333334,0.4612222222222222,0.0,0.48744444444444446,0.0

SU3adj1nf2,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.6266666666666666,0.4788888888888889,0.524,0.42911111111111105,0.4228888888888889,0.5324444444444444,0.0,0.4776666666666667
SU8s1S2a1f8nf1,0.6266666666666666,0.0,0.6263333333333333,0.4631111111111111,0.5692222222222222,0.5752222222222222,0.5665555555555555,0.0,0.5825555555555555
Sp2adj1a2nf4,0.4788888888888889,0.6263333333333333,0.0,0.5807777777777777,0.5773333333333334,0.4716666666666666,0.5432222222222222,0.0,0.5208888888888888
Sp2s2a1nf1,0.524,0.4631111111111111,0.5807777777777777,0.0,0.5293333333333333,0.5028888888888889,0.4886666666666667,0.0,0.4586666666666666
SU5s1S1a1A1nf1,0.42911111111111105,0.5692222222222222,0.5773333333333334,0.5293333333333333,0.0,0.43400000000000005,0.5616666666666666,0.0,0.47833333333333333
Sp2s1a1nf2,0.4228888888888889,0.5752222222222222,0.4716666666666666,0.5028888888888889,0.43400000000000005,0.0,0.4774444444444444,0.0,0.46411111111111114
SU5adj1s1A1F8nf0,0.5324444444444444,0.5665555555555555,0.5432222222222222,0.4886666666666667,0.5616666666666666,0.4774444444444444,0.0,0.0,0.48744444444444446
SU3adj1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4adj2a1A1nf1,0.4776666666666667,0.5825555555555555,0.5208888888888888,0.4586666666666666,0.47833333333333333,0.46411111111111114,0.48744444444444446,0.0,0.0

SU4adj2a1A1nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.5875555555555556,0.4906666666666667,0.46611111111111114,0.4805555555555555,0.48388888888888887,0.48100000000000004,0.4776666666666667,0.0
SU8s1S2a1f8nf1,0.5875555555555556,0.0,0.48855555555555547,0.504,0.5732222222222222,0.5805555555555556,0.46977777777777774,0.5825555555555555,0.0
Sp2adj1a2nf4,0.4906666666666667,0.48855555555555547,0.0,0.4408888888888889,0.4528888888888889,0.44255555555555554,0.38022222222222224,0.5208888888888888,0.0
Sp2s2a1nf1,0.46611111111111114,0.504,0.4408888888888889,0.0,0.4528888888888889,0.4662222222222222,0.4218888888888889,0.4586666666666666,0.0
SU5s1S1a1A1nf1,0.4805555555555555,0.5732222222222222,0.4528888888888889,0.4528888888888889,0.0,0.4944444444444444,0.4703333333333334,0.47833333333333333,0.0
Sp2s1a1nf2,0.48388888888888887,0.5805555555555556,0.44255555555555554,0.4662222222222222,0.4944444444444444,0.0,0.4612222222222222,0.46411111111111114,0.0
SU5adj1s1A1F8nf0,0.48100000000000004,0.46977777777777774,0.38022222222222224,0.4218888888888889,0.4703333333333334,0.4612222222222222,0.0,0.48744444444444446,0.0
SU3adj1nf2,0.4776666666666667,0.5825555555555555,0.5208888888888888,0.4586666666666666,0.47833333333333333,0.46411111111111114,0.48744444444444446,0.0,0.0
SU4adj2a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

