Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU3adj1nf3,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,SU4adj1a2A2nf1,SU4s1S1a2A2nf1,SO5nf5,SU2adj2nf1,Sp4s1a1nf1,SU5s1S1a2A2nf1
SU8s1S2a1f8nf1,0.9991666666666668,0.7266666666666667,0.73,0.5641666666666667,0.7108333333333333,0.7241666666666665,0.7516666666666666,0.7016666666666667,0.6416666666666667,0.7916666666666667,0.0,0.6383333333333334,0.6725000000000001,0.9724999999999999,0.7291666666666667,0.8966666666666667,0.9991666666666668,0.7308333333333333,0.6683333333333333,0.5800000000000001,0.9991666666666668,0.6975,0.9991666666666668,0.72,0.7224999999999999,0.7066666666666668,0.71,0.5625000000000001,0.7033333333333334,0.7166666666666666,0.72,0.54,0.7041666666666666,0.5941666666666666,0.6766666666666667,0.5991666666666667,0.6858333333333333,0.61,0.72,0.7166666666666667,0.6983333333333334,0.6733333333333332
Sp2adj1a2nf4,0.9975000000000002,0.8008333333333333,0.6416666666666666,0.71,0.7358333333333332,0.6766666666666667,0.5933333333333333,0.8375,0.8025,0.9758333333333333,0.6383333333333334,0.0,0.5808333333333334,1.0,0.8116666666666668,0.8941666666666667,0.9975000000000002,0.8533333333333333,0.7316666666666667,0.6950000000000001,0.9950000000000001,0.6291666666666667,0.9966666666666667,0.5975,0.6416666666666667,0.6841666666666667,0.75,0.7324999999999999,0.6441666666666667,0.8016666666666667,0.7008333333333333,0.7983333333333335,0.6941666666666666,0.7258333333333333,0.5516666666666667,0.7766666666666666,0.6691666666666667,0.8400000000000002,0.7058333333333333,0.7958333333333332,0.69,0.8474999999999999
SU5adj1s1A1F8nf0,0.9966666666666667,0.8541666666666666,0.6775,0.7308333333333333,0.7424999999999999,0.6166666666666667,0.6916666666666667,0.8425,0.8458333333333332,0.9549999999999998,0.6725000000000001,0.5808333333333334,0.0,0.9608333333333332,0.85,0.8958333333333334,0.9991666666666668,0.8858333333333335,0.7016666666666668,0.6833333333333333,0.9991666666666668,0.6216666666666667,0.9991666666666668,0.5533333333333332,0.5533333333333333,0.6083333333333334,0.82,0.7808333333333333,0.595,0.865,0.7383333333333333,0.7866666666666667,0.6766666666666667,0.7658333333333334,0.6016666666666667,0.78,0.6683333333333333,0.8525,0.7125,0.8566666666666667,0.665,0.8466666666666667
SU9s2A2F16nf0,1.0,1.0,0.9991666666666668,1.0,1.0,1.0,1.0,1.0,0.9983333333333334,0.9566666666666667,0.9724999999999999,1.0,0.9608333333333332,0.0,1.0,0.9091666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983333333333333,1.0,1.0,1.0,0.9991666666666668,1.0,1.0,1.0,1.0,1.0,1.0
SO5adj1nf2,0.9991666666666668,0.5416666666666666,0.8983333333333334,0.8275,0.5991666666666667,0.915,0.9349999999999999,0.9458333333333334,0.5716666666666667,0.9983333333333334,0.7291666666666667,0.8116666666666668,0.85,1.0,0.0,0.8966666666666667,1.0,0.5833333333333333,0.7133333333333333,0.6975,1.0,0.7341666666666666,1.0,0.8258333333333333,0.7533333333333332,0.7883333333333333,0.5650000000000001,0.7533333333333333,0.7133333333333334,0.5591666666666667,0.6475,0.7483333333333333,0.7766666666666666,0.7674999999999998,0.8,0.8225,0.7366666666666667,0.9025000000000001,0.6849999999999999,0.5308333333333334,0.655,0.8966666666666667
SU7a2A2nf1,0.9925,0.8966666666666667,0.8975,0.8966666666666667,0.8958333333333333,0.8966666666666667,0.8958333333333333,0.8958333333333333,0.8966666666666667,0.9016666666666667,0.8966666666666667,0.8941666666666667,0.8958333333333334,0.9091666666666667,0.8966666666666667,0.0,0.8816666666666666,0.8966666666666667,0.8941666666666667,0.8966666666666667,0.6266666666666666,0.8966666666666667,0.615,0.8966666666666667,0.8958333333333334,0.8966666666666667,0.8966666666666667,0.89,0.8966666666666667,0.8949999999999999,0.8966666666666667,0.8966666666666667,0.8966666666666667,0.8924999999999998,0.8908333333333334,0.8966666666666667,0.8966666666666667,0.8975,0.8875,0.8841666666666667,0.8966666666666667,0.8933333333333333
Sp2s1a2nf0,1.0,0.9983333333333334,1.0,0.9983333333333334,1.0,0.9991666666666668,1.0,0.9991666666666668,1.0,1.0,0.9991666666666668,0.9975000000000002,0.9991666666666668,1.0,1.0,0.8816666666666666,0.0,1.0,0.9950000000000001,0.9983333333333334,0.7416666666666666,1.0,0.6308333333333332,1.0,1.0,1.0,1.0,0.9949999999999999,0.9991666666666668,1.0,1.0,0.9941666666666666,1.0,0.9975000000000002,0.9924999999999999,1.0,1.0,0.9983333333333334,0.9866666666666667,0.9808333333333333,1.0,0.9950000000000001
Sp2adj1nf1,1.0,0.6058333333333333,0.9308333333333332,0.9099999999999999,0.6983333333333333,0.9558333333333333,0.9524999999999999,0.9525,0.6599999999999999,0.9983333333333334,0.7308333333333333,0.8533333333333333,0.8858333333333335,1.0,0.5833333333333333,0.8966666666666667,1.0,0.0,0.7791666666666667,0.7916666666666667,1.0,0.7741666666666668,1.0,0.8616666666666667,0.8058333333333334,0.8658333333333333,0.6391666666666665,0.7966666666666666,0.7674999999999998,0.67,0.7,0.7133333333333333,0.8216666666666669,0.8183333333333334,0.8466666666666667,0.8225,0.8116666666666668,0.915,0.7350000000000001,0.6016666666666668,0.7216666666666667,0.8966666666666667
SU5s1S1a1A1nf1,0.9875,0.7625,0.7991666666666666,0.7224999999999999,0.5966666666666667,0.7341666666666666,0.8300000000000001,0.8916666666666666,0.7283333333333333,0.9925,0.6683333333333333,0.7316666666666667,0.7016666666666668,1.0,0.7133333333333333,0.8941666666666667,0.9950000000000001,0.7791666666666667,0.0,0.5883333333333333,0.9941666666666669,0.5941666666666667,0.9974999999999999,0.6441666666666667,0.6391666666666668,0.7075,0.6475,0.6766666666666665,0.5641666666666666,0.7133333333333333,0.68,0.7299999999999999,0.6816666666666665,0.7083333333333334,0.7033333333333333,0.8108333333333333,0.5691666666666666,0.865,0.6624999999999999,0.7200000000000001,0.5741666666666667,0.8808333333333334
SU4adj2a1A1nf1,0.9974999999999999,0.6775,0.7758333333333333,0.625,0.5616666666666668,0.7699999999999999,0.8466666666666667,0.7858333333333334,0.5908333333333333,0.9916666666666668,0.5800000000000001,0.6950000000000001,0.6833333333333333,1.0,0.6975,0.8966666666666667,0.9983333333333334,0.7916666666666667,0.5883333333333333,0.0,1.0,0.585,0.9966666666666667,0.6658333333333333,0.6583333333333333,0.7366666666666667,0.58,0.6041666666666666,0.5675,0.6375000000000002,0.5508333333333333,0.5858333333333332,0.5566666666666665,0.5741666666666667,0.7058333333333334,0.6933333333333334,0.6074999999999999,0.7316666666666667,0.6166666666666666,0.6583333333333334,0.5583333333333332,0.7658333333333334
Sp2s2a1nf1,1.0,0.9991666666666668,1.0,0.9974999999999999,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,1.0,0.9991666666666668,0.9950000000000001,0.9991666666666668,1.0,1.0,0.6266666666666666,0.7416666666666666,1.0,0.9941666666666669,1.0,0.0,1.0,0.5958333333333333,0.9991666666666668,1.0,0.9991666666666668,1.0,0.9925,0.9983333333333334,0.9991666666666668,0.9991666666666668,0.9933333333333332,1.0,0.9941666666666666,0.9850000000000001,1.0,1.0,0.9958333333333333,0.9833333333333332,0.9724999999999999,1.0,0.9950000000000001
Sp2s1a1nf2,0.9991666666666668,0.7266666666666667,0.7691666666666667,0.7358333333333333,0.6174999999999999,0.7516666666666667,0.7849999999999999,0.9,0.7533333333333333,0.9983333333333334,0.6975,0.6291666666666667,0.6216666666666667,1.0,0.7341666666666666,0.8966666666666667,1.0,0.7741666666666668,0.5941666666666667,0.585,1.0,0.0,1.0,0.5841666666666667,0.5691666666666667,0.635,0.7,0.6916666666666667,0.5316666666666666,0.6983333333333333,0.6033333333333334,0.775,0.5974999999999999,0.6533333333333333,0.6466666666666666,0.8225,0.5583333333333333,0.8983333333333332,0.5574999999999999,0.7233333333333334,0.5675000000000001,0.8966666666666667
Sp2s1a2nf1,1.0,0.9991666666666668,1.0,0.9974999999999999,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,1.0,0.9991666666666668,0.9966666666666667,0.9991666666666668,1.0,1.0,0.615,0.6308333333333332,1.0,0.9974999999999999,0.9966666666666667,0.5958333333333333,1.0,0.0,0.9974999999999999,1.0,0.9983333333333334,1.0,0.99,0.9983333333333334,0.9974999999999999,1.0,0.9966666666666667,0.9983333333333333,0.9941666666666666,0.9875,1.0,1.0,0.9958333333333333,0.99,0.9925,1.0,0.9950000000000001
SU5adj1a2A2nf1,1.0,0.8549999999999999,0.6833333333333333,0.7725,0.7233333333333334,0.6100000000000001,0.695,0.9025000000000001,0.8200000000000001,0.9983333333333334,0.72,0.5975,0.5533333333333332,1.0,0.8258333333333333,0.8966666666666667,1.0,0.8616666666666667,0.6441666666666667,0.6658333333333333,0.9991666666666668,0.5841666666666667,0.9974999999999999,0.0,0.5633333333333332,0.6133333333333333,0.725,0.7683333333333333,0.5858333333333333,0.7833333333333333,0.6333333333333333,0.845,0.6224999999999999,0.7375,0.5741666666666666,0.825,0.595,0.9008333333333335,0.5883333333333333,0.8316666666666668,0.63,0.8966666666666667
Sp3a3nf1,1.0,0.7541666666666667,0.8150000000000001,0.7858333333333334,0.635,0.8175000000000001,0.7916666666666667,0.9608333333333334,0.7424999999999999,0.9983333333333334,0.7224999999999999,0.6416666666666667,0.5533333333333333,1.0,0.7533333333333332,0.8958333333333334,1.0,0.8058333333333334,0.6391666666666668,0.6583333333333333,1.0,0.5691666666666667,1.0,0.5633333333333332,0.0,0.5758333333333334,0.6908333333333333,0.7558333333333335,0.5541666666666666,0.7266666666666667,0.6191666666666666,0.8175000000000001,0.6191666666666666,0.7175,0.6,0.8225,0.5933333333333334,0.9041666666666668,0.57,0.7266666666666668,0.5866666666666667,0.8966666666666667
SU4a3A3nf1,0.9950000000000001,0.8500000000000002,0.8324999999999999,0.78,0.725,0.6741666666666666,0.8525,0.9458333333333332,0.8175000000000001,0.9983333333333334,0.7066666666666668,0.6841666666666667,0.6083333333333334,1.0,0.7883333333333333,0.8966666666666667,1.0,0.8658333333333333,0.7075,0.7366666666666667,0.9991666666666668,0.635,0.9983333333333334,0.6133333333333333,0.5758333333333334,0.0,0.7733333333333334,0.8208333333333334,0.615,0.8066666666666666,0.7300000000000001,0.8683333333333334,0.73,0.7658333333333334,0.5908333333333332,0.8225,0.6941666666666666,0.9091666666666667,0.6366666666666666,0.8225,0.6691666666666667,0.8891666666666665
Sp2s2nf1,0.9949999999999999,0.5541666666666666,0.8525,0.8025,0.5608333333333333,0.8741666666666668,0.8858333333333335,0.9191666666666668,0.5866666666666667,0.9983333333333334,0.71,0.75,0.82,1.0,0.5650000000000001,0.8966666666666667,1.0,0.6391666666666665,0.6475,0.58,1.0,0.7,1.0,0.725,0.6908333333333333,0.7733333333333334,0.0,0.7266666666666667,0.6333333333333332,0.5533333333333333,0.575,0.6925,0.76,0.735,0.7625,0.8216666666666667,0.6191666666666666,0.9008333333333333,0.6091666666666666,0.5508333333333333,0.5691666666666666,0.8966666666666667
Sp2adj2nf2,0.9983333333333334,0.7608333333333334,0.8458333333333334,0.5508333333333334,0.6966666666666668,0.9075,0.9008333333333332,0.7725,0.6533333333333333,0.9958333333333333,0.5625000000000001,0.7324999999999999,0.7808333333333333,1.0,0.7533333333333333,0.89,0.9949999999999999,0.7966666666666666,0.6766666666666665,0.6041666666666666,0.9925,0.6916666666666667,0.99,0.7683333333333333,0.7558333333333335,0.8208333333333334,0.7266666666666667,0.0,0.6833333333333333,0.7641666666666665,0.7474999999999999,0.5325,0.6641666666666667,0.5508333333333333,0.7858333333333333,0.6941666666666666,0.7191666666666666,0.6541666666666667,0.7508333333333332,0.7208333333333334,0.675,0.755
SU3adj1nf3,0.99,0.7191666666666666,0.7525000000000001,0.7558333333333335,0.5841666666666666,0.7341666666666666,0.7633333333333334,0.9033333333333333,0.7350000000000001,0.9966666666666667,0.7033333333333334,0.6441666666666667,0.595,1.0,0.7133333333333334,0.8966666666666667,0.9991666666666668,0.7674999999999998,0.5641666666666666,0.5675,0.9983333333333334,0.5316666666666666,0.9983333333333334,0.5858333333333333,0.5541666666666666,0.615,0.6333333333333332,0.6833333333333333,0.0,0.7024999999999999,0.5558333333333333,0.77,0.5700000000000001,0.6391666666666667,0.63,0.8208333333333334,0.5525,0.8724999999999999,0.54,0.6941666666666667,0.5366666666666667,0.8941666666666667
SU4adj2a1A1nf0,0.9950000000000001,0.5741666666666666,0.8558333333333333,0.8483333333333333,0.6066666666666667,0.8858333333333335,0.9141666666666668,0.9266666666666667,0.5700000000000001,0.9974999999999999,0.7166666666666666,0.8016666666666667,0.865,1.0,0.5591666666666667,0.8949999999999999,1.0,0.67,0.7133333333333333,0.6375000000000002,0.9991666666666668,0.6983333333333333,0.9974999999999999,0.7833333333333333,0.7266666666666667,0.8066666666666666,0.5533333333333333,0.7641666666666665,0.7024999999999999,0.0,0.6308333333333335,0.7308333333333332,0.7933333333333333,0.7724999999999999,0.7891666666666668,0.8225,0.7033333333333334,0.8991666666666667,0.6708333333333334,0.5658333333333333,0.6525000000000001,0.8966666666666667
Sp4a3nf0,1.0,0.63,0.85,0.7941666666666666,0.5433333333333332,0.9108333333333334,0.8783333333333333,0.9366666666666668,0.6341666666666667,0.9983333333333334,0.72,0.7008333333333333,0.7383333333333333,1.0,0.6475,0.8966666666666667,1.0,0.7,0.68,0.5508333333333333,0.9991666666666668,0.6033333333333334,1.0,0.6333333333333333,0.6191666666666666,0.7300000000000001,0.575,0.7474999999999999,0.5558333333333333,0.6308333333333335,0.0,0.7324999999999999,0.6416666666666667,0.7091666666666667,0.7016666666666668,0.8225,0.5766666666666667,0.9075,0.5541666666666666,0.6775,0.5533333333333333,0.8966666666666667
SO12s2nf1,0.9949999999999999,0.7416666666666666,0.9508333333333333,0.55,0.7425,0.9574999999999999,0.9641666666666666,0.9616666666666667,0.6516666666666667,0.8899999999999999,0.54,0.7983333333333335,0.7866666666666667,0.9983333333333333,0.7483333333333333,0.8966666666666667,0.9941666666666666,0.7133333333333333,0.7299999999999999,0.5858333333333332,0.9933333333333332,0.775,0.9966666666666667,0.845,0.8175000000000001,0.8683333333333334,0.6925,0.5325,0.77,0.7308333333333332,0.7324999999999999,0.0,0.7858333333333333,0.6083333333333333,0.8358333333333332,0.6083333333333333,0.78,0.6733333333333332,0.8,0.7158333333333332,0.7358333333333332,0.6916666666666667
SU2adj1nf3,0.9950000000000001,0.8208333333333334,0.7391666666666667,0.71,0.685,0.7816666666666666,0.8524999999999998,0.8741666666666668,0.7966666666666666,0.9983333333333334,0.7041666666666666,0.6941666666666666,0.6766666666666667,1.0,0.7766666666666666,0.8966666666666667,1.0,0.8216666666666669,0.6816666666666665,0.5566666666666665,1.0,0.5974999999999999,0.9983333333333333,0.6224999999999999,0.6191666666666666,0.73,0.76,0.6641666666666667,0.5700000000000001,0.7933333333333333,0.6416666666666667,0.7858333333333333,0.0,0.6041666666666667,0.6875,0.8225,0.6166666666666667,0.8858333333333335,0.6658333333333333,0.7508333333333334,0.5375,0.8966666666666667
SU3adj2nf2,1.0,0.7791666666666666,0.7691666666666667,0.5925,0.7066666666666667,0.8400000000000001,0.885,0.6883333333333334,0.7225,0.9949999999999999,0.5941666666666666,0.7258333333333333,0.7658333333333334,1.0,0.7674999999999998,0.8924999999999998,0.9975000000000002,0.8183333333333334,0.7083333333333334,0.5741666666666667,0.9941666666666666,0.6533333333333333,0.9941666666666666,0.7375,0.7175,0.7658333333333334,0.735,0.5508333333333333,0.6391666666666667,0.7724999999999999,0.7091666666666667,0.6083333333333333,0.6041666666666667,0.0,0.7408333333333333,0.7891666666666667,0.7166666666666667,0.755,0.6733333333333333,0.7358333333333332,0.6283333333333333,0.8491666666666665
SU5a3A3nf0,0.9991666666666668,0.8116666666666668,0.6483333333333333,0.7424999999999999,0.7166666666666667,0.5833333333333334,0.6175,0.915,0.805,0.9958333333333333,0.6766666666666667,0.5516666666666667,0.6016666666666667,1.0,0.8,0.8908333333333334,0.9924999999999999,0.8466666666666667,0.7033333333333333,0.7058333333333334,0.9850000000000001,0.6466666666666666,0.9875,0.5741666666666666,0.6,0.5908333333333332,0.7625,0.7858333333333333,0.63,0.7891666666666668,0.7016666666666668,0.8358333333333332,0.6875,0.7408333333333333,0.0,0.8191666666666666,0.6716666666666666,0.9008333333333335,0.6641666666666667,0.795,0.6791666666666667,0.8950000000000001
SU7s1S2a1f8nf0,1.0,0.8225,0.8275,0.5791666666666666,0.8225,0.8241666666666665,0.825,0.8241666666666665,0.7433333333333334,0.8066666666666666,0.5991666666666667,0.7766666666666666,0.78,0.9991666666666668,0.8225,0.8966666666666667,1.0,0.8225,0.8108333333333333,0.6933333333333334,1.0,0.8225,1.0,0.825,0.8225,0.8225,0.8216666666666667,0.6941666666666666,0.8208333333333334,0.8225,0.8225,0.6083333333333333,0.8225,0.7891666666666667,0.8191666666666666,0.0,0.8225,0.6066666666666667,0.8241666666666665,0.8225,0.8225,0.5775
SU4adj1a2A2nf1,0.9991666666666668,0.7041666666666667,0.78,0.7675,0.6033333333333333,0.7058333333333333,0.8108333333333333,0.9058333333333334,0.7391666666666667,0.9983333333333334,0.6858333333333333,0.6691666666666667,0.6683333333333333,1.0,0.7366666666666667,0.8966666666666667,1.0,0.8116666666666668,0.5691666666666666,0.6074999999999999,1.0,0.5583333333333333,1.0,0.595,0.5933333333333334,0.6941666666666666,0.6191666666666666,0.7191666666666666,0.5525,0.7033333333333334,0.5766666666666667,0.78,0.6166666666666667,0.7166666666666667,0.6716666666666666,0.8225,0.0,0.9008333333333333,0.5491666666666667,0.7166666666666668,0.5716666666666667,0.8966666666666667
SU4s1S1a2A2nf1,0.9991666666666668,0.8975,0.9266666666666667,0.5816666666666667,0.9041666666666668,0.9341666666666667,0.9258333333333333,0.9216666666666666,0.8099999999999999,0.9983333333333334,0.61,0.8400000000000002,0.8525,1.0,0.9025000000000001,0.8975,0.9983333333333334,0.915,0.865,0.7316666666666667,0.9958333333333333,0.8983333333333332,0.9958333333333333,0.9008333333333335,0.9041666666666668,0.9091666666666667,0.9008333333333333,0.6541666666666667,0.8724999999999999,0.8991666666666667,0.9075,0.6733333333333332,0.8858333333333335,0.755,0.9008333333333335,0.6066666666666667,0.9008333333333333,0.0,0.8966666666666667,0.9016666666666666,0.8916666666666668,0.6575
SO5nf5,1.0,0.6425000000000002,0.8108333333333334,0.8091666666666667,0.5966666666666667,0.9125,0.9133333333333333,0.9491666666666667,0.6975,0.9983333333333334,0.72,0.7058333333333333,0.7125,1.0,0.6849999999999999,0.8875,0.9866666666666667,0.7350000000000001,0.6624999999999999,0.6166666666666666,0.9833333333333332,0.5574999999999999,0.99,0.5883333333333333,0.57,0.6366666666666666,0.6091666666666666,0.7508333333333332,0.54,0.6708333333333334,0.5541666666666666,0.8,0.6658333333333333,0.6733333333333333,0.6641666666666667,0.8241666666666665,0.5491666666666667,0.8966666666666667,0.0,0.6425000000000001,0.5508333333333333,0.8966666666666667
