SU2nf4,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1
Sp2s1a2nf0,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1
SU2nf4,0.0,0.0,0.0015071844406944989,0.0,0.05671250869054647,0.050244341245164054,0.002224998266055635,0.002619961360567012
SU9s2A2F16nf0,0.0,0.0,0.014592827597280469,0.0,0.08047459533186334,0.037308192593154405,0.002444444444444451,0.0048800425013328305
SU10s2A2F16nf1,0.0015071844406944989,0.014592827597280469,0.0,0.0,0.07207172353519328,0.027423518788004753,0.0015071844406944989,0.002036700308869255
Sp2s1a2nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a2nf1,0.05671250869054647,0.08047459533186334,0.07207172353519328,0.0,0.0,0.08943554130983228,0.0849168802018178,0.06685057965343308
Sp2s2a1nf1,0.050244341245164054,0.037308192593154405,0.027423518788004753,0.0,0.08943554130983228,0.0,0.035271259240280343,0.03489472704161249
SU5s1a1A2F8nf0,0.002224998266055635,0.002444444444444451,0.0015071844406944989,0.0,0.0849168802018178,0.035271259240280343,0.0,0.012583057392117908
SU5s1a1A2F8nf1,0.002619961360567012,0.0048800425013328305,0.002036700308869255,0.0,0.06685057965343308,0.03489472704161249,0.012583057392117908,0.0

Sp2s1a2nf1,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1
SU2nf4,0.0,0.014108923714977756,0.01627085556265376,0.05671250869054647,0.0,0.06743300287354263,0.016629588385661965,0.017718303293626576
SU9s2A2F16nf0,0.014108923714977756,0.0,0.014315665251916798,0.08047459533186334,0.0,0.043269040624252464,0.005096597751635435,0.005653579659203804
SU10s2A2F16nf1,0.01627085556265376,0.014315665251916798,0.0,0.07207172353519328,0.0,0.03225075365183131,0.004602736706046208,0.004699619107234789
Sp2s1a2nf0,0.05671250869054647,0.08047459533186334,0.07207172353519328,0.0,0.0,0.08943554130983228,0.0849168802018178,0.06685057965343308
Sp2s1a2nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s2a1nf1,0.06743300287354263,0.043269040624252464,0.03225075365183131,0.08943554130983228,0.0,0.0,0.055805659255475794,0.029844039047465853
SU5s1a1A2F8nf0,0.016629588385661965,0.005096597751635435,0.004602736706046208,0.0849168802018178,0.0,0.055805659255475794,0.0,0.012959576277176286
SU5s1a1A2F8nf1,0.017718303293626576,0.005653579659203804,0.004699619107234789,0.06685057965343308,0.0,0.029844039047465853,0.012959576277176286,0.0

Sp2s2a1nf1,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1
SU2nf4,0.0,0.003725123247608931,0.004309048762147852,0.050244341245164054,0.06743300287354263,0.0,0.0038873012632301943,0.004548775442324151
SU9s2A2F16nf0,0.003725123247608931,0.0,0.014487542541400483,0.037308192593154405,0.043269040624252464,0.0,0.002444444444444451,0.002802115602870779
SU10s2A2F16nf1,0.004309048762147852,0.014487542541400483,0.0,0.027423518788004753,0.03225075365183131,0.0,0.0034138425546082676,0.003312900336861227
Sp2s1a2nf0,0.050244341245164054,0.037308192593154405,0.027423518788004753,0.0,0.08943554130983228,0.0,0.035271259240280343,0.03489472704161249
Sp2s1a2nf1,0.06743300287354263,0.043269040624252464,0.03225075365183131,0.08943554130983228,0.0,0.0,0.055805659255475794,0.029844039047465853
Sp2s2a1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1a1A2F8nf0,0.0038873012632301943,0.002444444444444451,0.0034138425546082676,0.035271259240280343,0.055805659255475794,0.0,0.0,0.012969575033254162
SU5s1a1A2F8nf1,0.004548775442324151,0.002802115602870779,0.003312900336861227,0.03489472704161249,0.029844039047465853,0.0,0.012969575033254162,0.0

SU5s1a1A2F8nf0,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1
SU2nf4,0.0,0.0018053418676968736,0.002619961360567012,0.002224998266055635,0.016629588385661965,0.0038873012632301943,0.0,0.012
SU9s2A2F16nf0,0.0018053418676968736,0.0,0.013669827999315279,0.002444444444444451,0.005096597751635435,0.002444444444444451,0.0,0.011830072581516582
SU10s2A2F16nf1,0.002619961360567012,0.013669827999315279,0.0,0.0015071844406944989,0.004602736706046208,0.0034138425546082676,0.0,0.010886621079036334
Sp2s1a2nf0,0.002224998266055635,0.002444444444444451,0.0015071844406944989,0.0,0.0849168802018178,0.035271259240280343,0.0,0.012583057392117908
