SU5adj1a2A2nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU8s1S2a1f8nf1,0.09012337223063849,0.04654229458444421,0.04437341546466758,0.0,0.05292214174067177,0.06574558145975654,0.05575253966423723,0.0,0.05307762775314317
SU4adj2a1A1nf1,0.07892800282301352,0.04696058236751644,0.06827694150107151,0.0,0.07293189788011184,0.0854060020442661,0.07587872064626275,0.05307762775314317,0.0

SU5s1S1a1A1nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.08610508939518667,0.07572073447629539,0.06758771164518074,0.0,0.07388053419767167,0.06052251902095595,0.05564448438053235,0.08055486589743097
SU6s2S2nf1,0.08610508939518667,0.0,0.09980252105972345,0.1038182171982462,0.0,0.0847759574582497,0.053479083253913505,0.06177627895863678,0.06645336246358081
SU5adj1s1A1F8nf0,0.07572073447629539,0.09980252105972345,0.0,0.06672858235946351,0.0,0.07115285233257855,0.07307031958968203,0.0644950950379222,0.07776388764858802
SU3adj1nf2,0.06758771164518074,0.1038182171982462,0.06672858235946351,0.0,0.0,0.07991979003667472,0.05942107536498195,0.05292214174067177,0.07293189788011184
SU5s1S1a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2adj1a2nf4,0.07388053419767167,0.0847759574582497,0.07115285233257855,0.07991979003667472,0.0,0.0,0.05556710990958323,0.0530780929444275,0.04790177707469296
Sp2s1a1nf2,0.06052251902095595,0.053479083253913505,0.07307031958968203,0.05942107536498195,0.0,0.05556710990958323,0.0,0.060541690563580206,0.06952608534363111
SU8s1S2a1f8nf1,0.05564448438053235,0.06177627895863678,0.0644950950379222,0.05292214174067177,0.0,0.0530780929444275,0.060541690563580206,0.0,0.06441809806277031
SU4adj2a1A1nf1,0.08055486589743097,0.06645336246358081,0.07776388764858802,0.07293189788011184,0.0,0.04790177707469296,0.06952608534363111,0.06441809806277031,0.0

Sp2adj1a2nf4,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.07626505113544053,0.08260092965727997,0.09359091440550872,0.07388053419767167,0.0,0.08762743806157161,0.06091493765596112,0.08889055553993085
SU6s2S2nf1,0.07626505113544053,0.0,0.07878937385268882,0.08395442620262702,0.0847759574582497,0.0,0.07373969900858386,0.0609542431097821,0.09265467548315567
SU5adj1s1A1F8nf0,0.08260092965727997,0.07878937385268882,0.0,0.07042200834440367,0.07115285233257855,0.0,0.08741337864098435,0.060334867997670266,0.06920902317536991
SU3adj1nf2,0.09359091440550872,0.08395442620262702,0.07042200834440367,0.0,0.07991979003667472,0.0,0.0605836835794043,0.06574558145975654,0.0854060020442661
SU5s1S1a1A1nf1,0.07388053419767167,0.0847759574582497,0.07115285233257855,0.07991979003667472,0.0,0.0,0.05556710990958323,0.0530780929444275,0.04790177707469296
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a1nf2,0.08762743806157161,0.07373969900858386,0.08741337864098435,0.0605836835794043,0.05556710990958323,0.0,0.0,0.05136218525407651,0.06948878584365029
SU8s1S2a1f8nf1,0.06091493765596112,0.0609542431097821,0.060334867997670266,0.06574558145975654,0.0530780929444275,0.0,0.05136218525407651,0.0,0.0878529214225067
SU4adj2a1A1nf1,0.08889055553993085,0.09265467548315567,0.06920902317536991,0.0854060020442661,0.04790177707469296,0.0,0.06948878584365029,0.0878529214225067,0.0

Sp2s1a1nf2,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.0725170052427892,0.08501190911488828,0.07507658641121408,0.06052251902095595,0.08762743806157161,0.0,0.09166659932657459,0.08975714834492207
SU6s2S2nf1,0.0725170052427892,0.0,0.08664529651058624,0.09939918274746629,0.053479083253913505,0.07373969900858386,0.0,0.06641889140750898,0.08055739461502273
SU5adj1s1A1F8nf0,0.08501190911488828,0.08664529651058624,0.0,0.07363875791094433,0.07307031958968203,0.08741337864098435,0.0,0.05315816140026657,0.06294432185925104
SU3adj1nf2,0.07507658641121408,0.09939918274746629,0.07363875791094433,0.0,0.05942107536498195,0.0605836835794043,0.0,0.05575253966423723,0.07587872064626275
SU5s1S1a1A1nf1,0.06052251902095595,0.053479083253913505,0.07307031958968203,0.05942107536498195,0.0,0.05556710990958323,0.0,0.060541690563580206,0.06952608534363111
Sp2adj1a2nf4,0.08762743806157161,0.07373969900858386,0.08741337864098435,0.0605836835794043,0.05556710990958323,0.0,0.0,0.05136218525407651,0.06948878584365029
Sp2s1a1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU8s1S2a1f8nf1,0.09166659932657459,0.06641889140750898,0.05315816140026657,0.05575253966423723,0.060541690563580206,0.05136218525407651,0.0,0.0,0.05819549853195448
SU4adj2a1A1nf1,0.08975714834492207,0.08055739461502273,0.06294432185925104,0.07587872064626275,0.06952608534363111,0.06948878584365029,0.0,0.05819549853195448,0.0

SU8s1S2a1f8nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.0665057316753903,0.07192039495078252,0.09012337223063849,0.05564448438053235,0.06091493765596112,0.09166659932657459,0.0,0.0771421647365882
SU6s2S2nf1,0.0665057316753903,0.0,0.05726794289958927,0.04654229458444421,0.06177627895863678,0.0609542431097821,0.06641889140750898,0.0,0.05275157244160336
SU5adj1s1A1F8nf0,0.07192039495078252,0.05726794289958927,0.0,0.04437341546466758,0.0644950950379222,0.060334867997670266,0.05315816140026657,0.0,0.06982128862803244
SU3adj1nf2,0.09012337223063849,0.04654229458444421,0.04437341546466758,0.0,0.05292214174067177,0.06574558145975654,0.05575253966423723,0.0,0.05307762775314317
SU5s1S1a1A1nf1,0.05564448438053235,0.06177627895863678,0.0644950950379222,0.05292214174067177,0.0,0.0530780929444275,0.060541690563580206,0.0,0.06441809806277031
Sp2adj1a2nf4,0.06091493765596112,0.0609542431097821,0.060334867997670266,0.06574558145975654,0.0530780929444275,0.0,0.05136218525407651,0.0,0.0878529214225067
Sp2s1a1nf2,0.09166659932657459,0.06641889140750898,0.05315816140026657,0.05575253966423723,0.060541690563580206,0.05136218525407651,0.0,0.0,0.05819549853195448
SU8s1S2a1f8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4adj2a1A1nf1,0.0771421647365882,0.05275157244160336,0.06982128862803244,0.05307762775314317,0.06441809806277031,0.0878529214225067,0.05819549853195448,0.0,0.0

