Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3adj1nf3,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,Sp2nf5
SU10s2A2F16nf1,0.9988333333333334,1.0,0.9863333333333334,0.95,1.0,0.9976666666666668,0.9988333333333334,0.9980000000000001,0.9988333333333334,1.0,0.0,0.8438333333333334,0.8956666666666667,0.9906666666666668,0.9448333333333333,1.0,0.9986666666666667,0.9988333333333334,1.0,1.0,0.9993333333333334,1.0,1.0,1.0,0.9988333333333334,0.9995,1.0,1.0
SU8s1S2a1f8nf1,0.7573333333333332,0.9843333333333334,0.6618333333333334,0.6173333333333333,0.9776666666666667,0.8336666666666666,0.8866666666666667,0.8073333333333333,0.601,0.973,0.8438333333333334,0.0,0.6569999999999999,0.5475000000000001,0.7964999999999999,0.9926666666666668,0.8480000000000001,0.5926666666666667,0.9961666666666668,0.9886666666666667,0.9595,0.9878333333333333,0.9831666666666667,0.997,0.6929999999999998,0.9561666666666667,0.9936666666666666,0.8751666666666666
Sp2adj1a2nf4,0.7256666666666668,0.9330000000000002,0.8511666666666666,0.8243333333333334,0.9263333333333335,0.9118333333333334,0.9215000000000001,0.5646666666666667,0.8781666666666665,0.9123333333333333,0.8956666666666667,0.6569999999999999,0.0,0.8223333333333334,0.9036666666666667,0.9310000000000003,0.9211666666666666,0.9020000000000001,0.9228333333333335,0.9263333333333335,0.935,0.9201666666666668,0.9213333333333334,0.9328333333333333,0.8420000000000001,0.9256666666666667,0.9198333333333334,0.9006666666666667
SU5adj1s1A1F8nf0,0.9328333333333333,0.9490000000000001,0.6733333333333335,0.7348333333333333,0.9415,0.8313333333333334,0.8803333333333334,0.975,0.7321666666666669,0.9415,0.9906666666666668,0.5475000000000001,0.8223333333333334,0.0,0.9961666666666666,0.9525,0.8251666666666666,0.6335,0.9686666666666668,0.9590000000000001,0.9045000000000001,0.943,0.9273333333333335,0.9718333333333333,0.5593333333333333,0.9035,0.9638333333333332,0.9963333333333334
SU9s2A2F16nf0,1.0,0.9998333333333334,0.9826666666666668,0.9865,1.0,0.9993333333333334,1.0,0.9993333333333334,1.0,1.0,0.9448333333333333,0.7964999999999999,0.9036666666666667,0.9961666666666666,0.0,1.0,0.9834999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SO5adj1nf2,1.0,0.9276666666666666,0.9976666666666668,0.9901666666666666,0.6185,0.9985,0.885,0.9991666666666668,0.9998333333333334,0.9898333333333335,1.0,0.9926666666666668,0.9310000000000003,0.9525,1.0,0.0,0.9925,0.98,0.99,0.7108333333333333,0.8521666666666665,0.9768333333333333,0.924,0.988,0.9953333333333333,0.8586666666666666,0.9918333333333333,1.0
SU7a2A2nf1,0.9980000000000001,0.9891666666666665,0.8909999999999999,0.8769999999999999,0.9536666666666668,0.8921666666666666,0.8889999999999999,0.9968333333333333,0.9059999999999999,0.7901666666666668,0.9986666666666667,0.8480000000000001,0.9211666666666666,0.8251666666666666,0.9834999999999998,0.9925,0.0,0.8868333333333333,0.9935,0.993,0.887,0.9193333333333333,0.9111666666666666,0.9925000000000002,0.8931666666666664,0.8881666666666667,0.9923333333333333,1.0
SU3adj1nf4,0.9985,0.9715,0.8476666666666666,0.8116666666666668,0.9578333333333334,0.7998333333333332,0.8536666666666665,0.9938333333333333,0.9141666666666666,0.9895000000000002,0.9988333333333334,0.5926666666666667,0.9020000000000001,0.6335,1.0,0.98,0.8868333333333333,0.0,0.9943333333333334,0.9838333333333334,0.9113333333333334,0.9871666666666669,0.9558333333333334,0.9968333333333332,0.8034999999999998,0.8716666666666667,0.9966666666666666,1.0
Sp2s1a2nf0,1.0,0.9814999999999999,0.9991666666666668,0.9923333333333335,0.9498333333333332,0.9996666666666667,0.9743333333333333,0.9993333333333334,1.0,0.9925,1.0,0.9961666666666668,0.9228333333333335,0.9686666666666668,1.0,0.99,0.9935,0.9943333333333334,0.0,0.9655000000000001,0.946,0.9851666666666667,0.9893333333333334,0.8384999999999999,0.9968333333333333,0.9723333333333335,0.7576666666666667,1.0
Sp2adj1nf1,1.0,0.8406666666666667,0.9981666666666668,0.9891666666666667,0.7445,0.9993333333333334,0.9245,0.9991666666666668,0.9995,0.9861666666666667,1.0,0.9886666666666667,0.9263333333333335,0.9590000000000001,1.0,0.7108333333333333,0.993,0.9838333333333334,0.9655000000000001,0.0,0.8806666666666666,0.9773333333333334,0.9533333333333335,0.9595,0.9954999999999999,0.9103333333333334,0.9756666666666667,1.0
SU5adj1nf2,1.0,0.8825,0.9933333333333334,0.9650000000000002,0.7614999999999997,0.9878333333333333,0.5385,0.9981666666666668,0.9964999999999999,0.9878333333333333,0.9993333333333334,0.9595,0.935,0.9045000000000001,1.0,0.8521666666666665,0.887,0.9113333333333334,0.946,0.8806666666666666,0.0,0.9801666666666669,0.8055000000000001,0.9543333333333334,0.9803333333333335,0.5401666666666667,0.9555,1.0
SU5s1S1a1A1nf1,1.0,0.9906666666666666,0.9966666666666667,0.982,0.9681666666666667,0.9986666666666667,0.988,0.9995,0.9995,0.5990000000000001,1.0,0.9878333333333333,0.9201666666666668,0.943,1.0,0.9768333333333333,0.9193333333333333,0.9871666666666669,0.9851666666666667,0.9773333333333334,0.9801666666666669,0.0,0.8736666666666666,0.9521666666666667,0.9951666666666666,0.9775,0.9713333333333333,1.0
SU4adj2a1A1nf1,1.0,0.9833333333333333,0.995,0.9721666666666667,0.8838333333333334,0.9915,0.8128333333333333,0.9990000000000001,0.9993333333333334,0.9106666666666667,1.0,0.9831666666666667,0.9213333333333334,0.9273333333333335,1.0,0.924,0.9111666666666666,0.9558333333333334,0.9893333333333334,0.9533333333333335,0.8055000000000001,0.8736666666666666,0.0,0.9738333333333332,0.9933333333333334,0.6958333333333333,0.9843333333333334,1.0
Sp2s2a1nf1,1.0,0.9863333333333334,0.9990000000000001,0.9920000000000002,0.9611666666666666,0.9996666666666667,0.982,0.9990000000000001,1.0,0.9788333333333332,1.0,0.997,0.9328333333333333,0.9718333333333333,1.0,0.988,0.9925000000000002,0.9968333333333332,0.8384999999999999,0.9595,0.9543333333333334,0.9521666666666667,0.9738333333333332,0.0,0.9963333333333334,0.9733333333333334,0.5774999999999999,1.0
SU5adj1nf4,0.9668333333333333,0.9921666666666666,0.867,0.8336666666666666,0.9923333333333333,0.9518333333333334,0.9825000000000002,0.9633333333333334,0.9751666666666668,0.9956666666666666,0.9988333333333334,0.6929999999999998,0.8420000000000001,0.5593333333333333,1.0,0.9953333333333333,0.8931666666666664,0.8034999999999998,0.9968333333333333,0.9954999999999999,0.9803333333333335,0.9951666666666666,0.9933333333333334,0.9963333333333334,0.0,0.9861666666666666,0.9965,0.9961666666666666
Sp2s1a1nf2,1.0,0.9138333333333334,0.9918333333333333,0.9613333333333334,0.7279999999999999,0.9883333333333334,0.5486666666666666,0.9990000000000001,0.9983333333333334,0.9846666666666668,0.9995,0.9561666666666667,0.9256666666666667,0.9035,1.0,0.8586666666666666,0.8881666666666667,0.8716666666666667,0.9723333333333335,0.9103333333333334,0.5401666666666667,0.9775,0.6958333333333333,0.9733333333333334,0.9861666666666666,0.0,0.9734999999999999,1.0
Sp2s1a2nf1,1.0,0.9904999999999999,0.9991666666666668,0.9910000000000001,0.9586666666666668,0.9993333333333334,0.9826666666666668,0.9993333333333334,1.0,0.9871666666666666,1.0,0.9936666666666666,0.9198333333333334,0.9638333333333332,1.0,0.9918333333333333,0.9923333333333333,0.9966666666666666,0.7576666666666667,0.9756666666666667,0.9555,0.9713333333333333,0.9843333333333334,0.5774999999999999,0.9965,0.9734999999999999,0.0,1.0
Sp2nf5,1.0,1.0,0.9875,0.9684999999999999,1.0,0.9995,1.0,0.8375000000000001,0.9993333333333334,1.0,1.0,0.8751666666666666,0.9006666666666667,0.9963333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9961666666666666,1.0,1.0,0.0
