Sp2s1a1nf2,Sp2s1a1nf2,SU3nf6,SU3adj1nf2,SU6adj1s1A1F8nf1,SU4adj2a1A1nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU8s1S2a1f8nf1
SU3adj1nf2,0.1027837836083081,0.12824070731380766,0.0,0.0,0.06151382460296181,0.0447213595499958,0.03859316129530506,0.04145874045956808
SU6adj1s1A1F8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4adj2a1A1nf1,0.0970330858681018,0.11922387903995296,0.06151382460296181,0.0,0.0,0.12639468851162464,0.09275907995220871,0.05579946457550986
Sp2adj1a2nf4,0.08959442222497535,0.03309339570830066,0.0447213595499958,0.0,0.12639468851162464,0.0,0.09807127667488567,0.061859657968264065
SU5adj1s1A1F8nf0,0.054344693200094024,0.07202160169776226,0.03859316129530506,0.0,0.09275907995220871,0.09807127667488567,0.0,0.07489548272982378
SU8s1S2a1f8nf1,0.04804691637180794,0.05785251576419917,0.04145874045956808,0.0,0.05579946457550986,0.061859657968264065,0.07489548272982378,0.0

SU4adj2a1A1nf1,Sp2s1a1nf2,SU3nf6,SU3adj1nf2,SU6adj1s1A1F8nf1,SU4adj2a1A1nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU8s1S2a1f8nf1
Sp2s1a1nf2,0.0,0.10497360044374708,0.10546668773703961,0.0970330858681018,0.0,0.10732919246670757,0.1268456824669008,0.1002912425555359
SU3nf6,0.10497360044374708,0.0,0.057985630403862426,0.11922387903995296,0.0,0.029465401347058037,0.11089334215061485,0.07633915552759717
SU3adj1nf2,0.10546668773703961,0.057985630403862426,0.0,0.06151382460296181,0.0,0.07477216422713653,0.11255555555555556,0.07794814674029725
SU6adj1s1A1F8nf1,0.0970330858681018,0.11922387903995296,0.06151382460296181,0.0,0.0,0.12639468851162464,0.09275907995220871,0.05579946457550986
SU4adj2a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2adj1a2nf4,0.10732919246670757,0.029465401347058037,0.07477216422713653,0.12639468851162464,0.0,0.0,0.08386968139196739,0.11401234501059442
SU5adj1s1A1F8nf0,0.1268456824669008,0.11089334215061485,0.11255555555555556,0.09275907995220871,0.0,0.08386968139196739,0.0,0.0835933720569511
SU8s1S2a1f8nf1,0.1002912425555359,0.07633915552759717,0.07794814674029725,0.05579946457550986,0.0,0.11401234501059442,0.0835933720569511,0.0

Sp2adj1a2nf4,Sp2s1a1nf2,SU3nf6,SU3adj1nf2,SU6adj1s1A1F8nf1,SU4adj2a1A1nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU8s1S2a1f8nf1
Sp2s1a1nf2,0.0,0.029465401347058037,0.12561891223502578,0.08959442222497535,0.10732919246670757,0.0,0.07581499574785264,0.1021681016152024
SU3nf6,0.029465401347058037,0.0,0.029465401347058037,0.03309339570830066,0.029465401347058037,0.0,0.15609133919868684,0.12925240881772834
SU3adj1nf2,0.12561891223502578,0.029465401347058037,0.0,0.0447213595499958,0.07477216422713653,0.0,0.0890731423682696,0.09538719017448159
SU6adj1s1A1F8nf1,0.08959442222497535,0.03309339570830066,0.0447213595499958,0.0,0.12639468851162464,0.0,0.09807127667488567,0.061859657968264065
SU4adj2a1A1nf1,0.10732919246670757,0.029465401347058037,0.07477216422713653,0.12639468851162464,0.0,0.0,0.08386968139196739,0.11401234501059442
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1s1A1F8nf0,0.07581499574785264,0.15609133919868684,0.0890731423682696,0.09807127667488567,0.08386968139196739,0.0,0.0,0.09250085084693765
SU8s1S2a1f8nf1,0.1021681016152024,0.12925240881772834,0.09538719017448159,0.061859657968264065,0.11401234501059442,0.0,0.09250085084693765,0.0

SU5adj1s1A1F8nf0,Sp2s1a1nf2,SU3nf6,SU3adj1nf2,SU6adj1s1A1F8nf1,SU4adj2a1A1nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU8s1S2a1f8nf1
Sp2s1a1nf2,0.0,0.09783640918882379,0.13455532617651794,0.054344693200094024,0.1268456824669008,0.07581499574785264,0.0,0.06638607618402455
SU3nf6,0.09783640918882379,0.0,0.1123220677942685,0.07202160169776226,0.11089334215061485,0.15609133919868684,0.0,0.0665113932503204
SU3adj1nf2,0.13455532617651794,0.1123220677942685,0.0,0.03859316129530506,0.11255555555555556,0.0890731423682696,0.0,0.0620795984459458
SU6adj1s1A1F8nf1,0.054344693200094024,0.07202160169776226,0.03859316129530506,0.0,0.09275907995220871,0.09807127667488567,0.0,0.07489548272982378
SU4adj2a1A1nf1,0.1268456824669008,0.11089334215061485,0.11255555555555556,0.09275907995220871,0.0,0.08386968139196739,0.0,0.0835933720569511
Sp2adj1a2nf4,0.07581499574785264,0.15609133919868684,0.0890731423682696,0.09807127667488567,0.08386968139196739,0.0,0.0,0.09250085084693765
SU5adj1s1A1F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU8s1S2a1f8nf1,0.06638607618402455,0.0665113932503204,0.0620795984459458,0.07489548272982378,0.0835933720569511,0.09250085084693765,0.0,0.0

SU8s1S2a1f8nf1,Sp2s1a1nf2,SU3nf6,SU3adj1nf2,SU6adj1s1A1F8nf1,SU4adj2a1A1nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU8s1S2a1f8nf1
Sp2s1a1nf2,0.0,0.08313279574509125,0.11143818526789848,0.04804691637180794,0.1002912425555359,0.1021681016152024,0.06638607618402455,0.0
SU3nf6,0.08313279574509125,0.0,0.0795131016457875,0.05785251576419917,0.07633915552759717,0.12925240881772834,0.0665113932503204,0.0
SU3adj1nf2,0.11143818526789848,0.0795131016457875,0.0,0.04145874045956808,0.07794814674029725,0.09538719017448159,0.0620795984459458,0.0
SU6adj1s1A1F8nf1,0.04804691637180794,0.05785251576419917,0.04145874045956808,0.0,0.05579946457550986,0.061859657968264065,0.07489548272982378,0.0
SU4adj2a1A1nf1,0.1002912425555359,0.07633915552759717,0.07794814674029725,0.05579946457550986,0.0,0.11401234501059442,0.0835933720569511,0.0
Sp2adj1a2nf4,0.1021681016152024,0.12925240881772834,0.09538719017448159,0.061859657968264065,0.11401234501059442,0.0,0.09250085084693765,0.0
SU5adj1s1A1F8nf0,0.06638607618402455,0.0665113932503204,0.0620795984459458,0.07489548272982378,0.0835933720569511,0.09250085084693765,0.0,0.0
SU8s1S2a1f8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

